Weekday,Time,Utility
Monday,8,0
Monday,9,0
Monday,10,0
Monday,11,0
Monday,12,0
Monday,13,0
Monday,14,0
Monday,15,66.67
Monday,16,0
Monday,17,33.33
Tuesday,8,0
Tuesday,9,40
Tuesday,10,0
Tuesday,11,0
Tuesday,12,20
Tuesday,13,20
Tuesday,14,0
Tuesday,15,0
Tuesday,16,0
Tuesday,17,20
Wednesday,8,50
Wednesday,9,0
Wednesday,10,0
Wednesday,11,50
Wednesday,12,0
Wednesday,13,0
Wednesday,14,0
Wednesday,15,0
Wednesday,16,0
Wednesday,17,0
Thursday,8,50
Thursday,9,0
Thursday,10,0
Thursday,11,0
Thursday,12,0
Thursday,13,0
Thursday,14,0
Thursday,15,50
Thursday,16,0
Thursday,17,0
Friday,8,0
Friday,9,0
Friday,10,0
Friday,11,0
Friday,12,0
Friday,13,0
Friday,14,0
Friday,15,0
Friday,16,22.22
Friday,17,77.78
